date,SPY,VIX,TLT,TIP,LQD,HYG,GLD
1990-01-31,,23.34727278622714,,,,,
1990-02-28,,23.262631767674495,,,,,
1990-03-31,,20.06227259202437,,,,,
1990-04-30,,21.40349998474121,,,,,
1990-05-31,,18.09772725538774,,,,,
1990-06-30,,16.822380837940035,,,,,
1990-07-31,,18.39285727909633,,,,,
1990-08-31,,28.175217255302098,,,,,
1990-09-30,,29.10736836885151,,,,,
1990-10-31,,29.625652479088824,,,,,
1990-11-30,,24.885714394705637,,,,,
1990-12-31,,23.363000106811523,,,,,
1991-01-31,,27.429091106761586,,,,,
1991-02-28,,21.598421096801758,,,,,
1991-03-31,,17.918499851226805,,,,,
1991-04-30,,17.37272735075517,,,,,
1991-05-31,,16.932272737676445,,,,,
1991-06-30,,17.13499994277954,,,,,
1991-07-31,,17.294090964577414,,,,,
1991-08-31,,15.681363712657582,,,,,
1991-09-30,,16.956499767303466,,,,,
1991-10-31,,16.36391299703847,,,,,
1991-11-30,,17.77350010871887,,,,,
1991-12-31,,18.347619102114724,,,,,
1992-01-31,,17.68318167599765,,,,,
1992-02-29,,17.47736850537752,,,,,
1992-03-31,,17.520454623482443,,,,,
1992-04-30,,16.562856946672714,,,,,
1992-05-31,,15.076999950408936,,,,,
1992-06-30,,15.203181873668324,,,,,
1992-07-31,,13.601818214763295,,,,,
1992-08-31,,14.42190474555606,,,,,
1992-09-30,,13.696666581290108,,,,,
1992-10-31,,17.636818278919566,,,,,
1992-11-30,,14.424499940872192,,,,,
1992-12-31,,12.19136363809759,,,,,
1993-01-31,24.24140739440918,12.408999967575074,,,,,
1993-02-28,24.50003242492676,13.721578949376157,,,,,
1993-03-31,25.048803329467773,13.606086855349334,,,,,
1993-04-30,24.407865524291992,12.840952419099354,,,,,
1993-05-31,25.06612777709961,13.6060001373291,,,,,
1993-06-30,25.15654754638672,12.52409081025557,,,,,
1993-07-31,25.034446716308597,11.500476201375326,,,,,
1993-08-31,25.993932723999023,11.928636420856822,,,,,
1993-09-30,25.804805755615234,12.931428409758068,,,,,
1993-10-31,26.31388664245605,11.875238100687662,,,,,
1993-11-30,26.033021926879883,14.083809534708658,,,,,
1993-12-31,26.352632522583008,11.356363556601785,,,,,
1994-01-31,27.27169418334961,11.290476163228353,,,,,
1994-02-28,26.476362228393555,13.644210464075991,,,,,
1994-03-31,25.366945266723636,15.223478317260742,,,,,
1994-04-30,25.651382446289062,16.471052671733656,,,,,
1994-05-31,26.06023597717285,13.897142818995885,,,,,
1994-06-30,25.463098526000977,13.408636353232644,,,,,
1994-07-31,26.286191940307617,12.48449993133545,,,,,
1994-08-31,27.288265228271484,11.889130467953889,,,,,
1994-09-30,26.59911727905273,13.23333336058117,,,,,
1994-10-31,27.355226516723636,15.245238031659808,,,,,
1994-11-30,26.26605033874512,16.38380949837821,,,,,
1994-12-31,26.45733642578125,14.177142824445452,,,,,
1995-01-31,27.34650993347168,12.274285679771786,,,,,
1995-02-28,28.462507247924805,11.470000016061883,,,,,
1995-03-31,29.25512313842773,12.166521735813307,,,,,
1995-04-30,30.121746063232425,12.442631570916427,,,,,
1995-05-31,31.31674194335937,12.265909194946289,,,,,
1995-06-30,31.950271606445312,11.89681811766191,,,,,
1995-07-31,32.97796630859375,12.514000129699706,,,,,
1995-08-31,33.12476348876953,12.79826085463814,,,,,
1995-09-30,34.52848815917969,12.057000017166137,,,,,
1995-10-31,34.42702865600586,14.357272711667148,,,,,
1995-11-30,35.95833969116211,12.469047546386719,,,,,
1995-12-31,36.52407455444336,11.74849991798401,,,,,
1996-01-31,37.82352828979492,13.473636237057773,,,,,
1996-02-29,37.944183349609375,15.032999801635743,,,,,
1996-03-31,38.5975227355957,17.762380781627837,,,,,
1996-04-30,39.01704025268555,16.575238000778924,,,,,
1996-05-31,39.90274810791016,16.14636369185014,,,,,
1996-06-30,40.2547721862793,16.395000171661376,,,,,
1996-07-31,38.44588851928711,17.97863635149869,,,,,
1996-08-31,39.186302185058594,15.760454698042436,,,,,
1996-09-30,41.375755310058594,16.578000020980834,,,,,
1996-10-31,42.71348571777344,16.381739201753035,,,,,
1996-11-30,45.83173751831055,15.996999740600586,,,,,
1996-12-31,44.74105072021485,19.260952449980238,,,,,
1997-01-31,47.50542068481445,19.473181551153008,,,,,
1997-02-28,47.95983505249024,20.139473563746403,,,,,
1997-03-31,45.843711853027344,20.169999980926512,,,,,
1997-04-30,48.71366500854492,19.662272626703437,,,,,
1997-05-31,51.79273986816406,19.9247620900472,,,,,
1997-06-30,53.92154693603516,20.194285983131046,,,,,
1997-07-31,58.19558334350586,20.529090881347656,,,,,
1997-08-31,55.18090057373047,23.084762028285436,,,,,
1997-09-30,57.83454513549805,23.812380836123513,,,,,
1997-10-31,56.41743469238281,23.870869760927945,,,,,
1997-11-30,58.60059356689453,32.034737034847865,,,,,
1997-12-31,59.71818542480469,26.276363719593395,,,,,
1998-01-31,60.48727035522461,23.866499996185304,,,,,
1998-02-28,64.67866516113281,19.99894724394146,,,,,
1998-03-31,67.83393096923828,20.158636353232644,,,,,
1998-04-30,68.70161437988281,22.028571446736652,,,,,
1998-05-31,67.2748031616211,20.873999786376952,,,,,
1998-06-30,70.13887786865234,21.662727269259367,,,,,
1998-07-31,69.19105529785156,19.929999871687457,,,,,
1998-08-31,59.42266082763672,31.58809498378209,,,,,
1998-09-30,63.20431518554688,38.204762231735955,,,,,
1998-10-31,68.32898712158203,36.608181953430176,,,,,
1998-11-30,72.13365936279297,26.223000144958498,,,,,
